LOCATION NAME,DISPLAY_CALL_NO,ITEM_ENUM,CHRON,CountOfCHARGE_DATE,TITLE
,QH541 .B75 1994,,,8,Science of ecology / Richard Brewer. 
,QH541 .D65 1998,,,5,Ecology of aquatic systems / Mike Dobson and Chris Frid. 
,QH541 .J71 1997,,,4,Environmental biology / Allan M. Jones. 
,QH541 .K84 1996,,,2,Concepts of ecology / Edward J. Kormondy. 
,QH541 .K91 2001,,,7,General ecology / David T. Krohne. 
,QH541 .L57 2003,,,2,Error(12001)
,QH541 .Od8 2005,,,4,"Fundamentals of ecology / Eugene P. Odum, Gary W. Barrett. "
,QH541 REI 1994,,,5,Ecology and conservation / M. J. Reiss and J. L. Chapman. 
,QH541.15.B56 .J38 1997,,,3,Biodiversity and conservation / Michael J. Jeffries. 
,QH543 .G78 1996,,,1,"Global environmental change : plants, animals and communities / Jonathan Graves, Duncan Reavey. "
,QH545.A1 C19 1995,,,1,Caribbean environment outlook 
,QH581.2 .K67 1995,,,2,"Principles of cell and molecular biology / Lewis J. Kleinsmith, Valerie M. Kish. "
,QH581.2 .W83 1993,,,5,Molecular and cellular biology / Stephen L. Wolfe. 
,QH581.2 .W83 1995,,,24,Introduction to cell and molecular biology / Stephen L. Wolfe. 
,QH5812.2 DOW 1971,,,2,Cell biology [by] Robert M. Dowben. 
,QH600 HOL 1974,,,1,Introduction to cell biology / C.B. Hole. 
,QH611 .G19 1995,,,2,Molecular aspects of cell biology / Reginald H. Garrett and Charles M. Grisham. 
,QH75 .B43 2004,,,2,Integrating biodiversity conservation and sustainable use : lessons learned from ecological networks / Graham Bennett. 
,QH75 CON 1996,,,1,Conservation biology / edited by Ian F. Spellerberg. 
,QK566 .G76 2000,,,1,"Algae / Linda E. Graham, Lee W. Wilcox. "
,QK642 .P42 1998,,,9,"Photo atlas for botany / James W. Perry, David Morton. "
,QK711.2 .Sa3 1992,,,1,"Plant physiology / Frank B. Salisbury, Cleon W. Ross. "
,QK938.M3 .C88 2001,,,1,Wetland plants : biology and ecology / Julie K. Cronk and M. Siobhan Fennessy. 
,QL47.2 .An5 2007,,,45,"Animal diversity / Cleveland P. Hickman, Jr. ... [et al.] ; original artwork by William C. Ober and Claire W. Garrison. "
,QL805 .B52 2006,,,3,Animal structure and function / Cecie Starr ... [et al.]. 
,QL812.5 .H75 2004,,,1,"Vertebrate dissection / Dominique G. Homberger, Warren F. Walker, Jr. "
,QP34.5 .J63 2008,,,25,Human biology : concepts and current issues / Michael D. Johnson. 
,QP34.5 .M33 2007,,,5,"Human anatomy & physiology / Elaine N. Marieb, Katja Hoehn. "
,QP34.5 .M36 2003,,,1,Laboratory manual [for] Hole's essentials of human anatomy and physiology / Terry R. Martin. 
,QP36 .G11 1993,,,20,Human and social biology for the tropics / by Phil Gadd. 
,QP36 .Sh5 2006,,,4,Fundamentals of physiology : a human perspective / Lauralee Sherwood. 
,QP360 .C19 2004,,,2,Physiology of behavior / Neil R. Carlson. 
,QP360 .C19 2007,,,18,Physiology of behavior / Neil R. Carlson. 
,QP360 .G19 2009,,,3,Brain & behavior : an introduction to biological psychology / Bob Garrett. 
,QP360 .K12 2007,,,1,Biological psychology / James W. Kalat. 
,QR111 .Su1 1999,,,2,Soil microbiology / N.S. Subba Rao. 
,QR201.V55 .M46 1995,,,1,Medical virology : a practical approach / edited by U. Desselberger. 
,QR41.2 .B32 2002,,,25,Microbiology : an introduction / Barry L. Batzing. 
,QR41.2 .In4 2004,,,9,"Introduction to microbiology : a case history approach / John L. Ingraham, Catherine A. Ingraham. "
,QR41.2 .M26 2006,,,4,"Brock biology of microorganisms / Michael T. Madigan, John M. Martinko. "
,QR67 . M35 2009,,,3,Microbiology / Jacquelyn R. Marshall. 
,QS 18 .M33 1995,,,3,Study guide to accompany Human anatomy and physiology 
,QS 18.2 .El5 2004,,,1,"Paramedic : anatomy and physiology / American Academy of Orthopaedic Surgeons ; Bob Elling, Kirsten M. Elling, Mikel A. Rothenberg ; editor, Andrew N. Pollak. "
,QS 39 .P27 2006,,,4,"Survival guide for anatomy & physiology : tips, techniques, and shortcuts for learning about the structure and function of the human body with style, ease, and good humor / Kevin T. Patton. "
,QS 4 .C66 2009,,,91,Memmler's structure and function of the human body. 
,QS 4 .C66i 2005,,,9,"Instructor's manual and study guide answers for Memmler's structure and function of the human body / Barbra Cohen , Kerry L. Hull , Jesse Taylor. "
,QS 4 .M36 2002,,,1,"Anatomy & physiology for emergency care / Frederic H. Martini, Edwin F. Bartholomew, Bryan E. Bledsoe ; with William C. Ober, art coordinator ; Claire W. Garrison, illustrator ; Kathleen Welch, clinical consultant ; Ralph T. Hutchings, biomedical photogra"
,QS 4 CRE 1992,,,3,Human anatomy and physiology / Joan G. Creager. 
,QS 4 HOL 1984,,,2,"Human anatomy and physiology / John W. Hole, Jr. "
,QS 4 JAC 1982,,,6,"Structure and function in man / Stanley W. Jacob, Clarice Ashworth Francone, Walter J. Lossow. "
,QS 4 TOR 1996,,,1,"Principles of anatomy and physiology / Gerard J. Tortora, Sandra Reynolds Grabowski. "
,QS 4 VAN 1992,,,1,Human anatomy / Kent M. Van De Graaff. 
,QS 504 .M19 2000,,,10,"Basic concepts in cell biology and histology : a student's survival guide / James C. McKenzie, Robert M. Klein. "
,QS 504 BEV 1974,,,1,Essentials of histology [by] Gerrit Bevelander [and] Judith A. Ramaley. 
,QS 504 WHE,,,7,Functional Histology 
,QS 517 Fre 1967,,,3,Atlas of histology [by] W. H. Freeman and Brian Bracegirdle. 
,QS 517 Fre 1971,,,1,Atlas of histology 
,QS 517 KEI 1965,,,1,"Atlas of descriptive histology / Edward J. Reith, Michael H. Ross. "
,QS 517 LEE 1985,,,5,"Atlas of histology / C. Roland Leeson, Thomas S. Leeson, Anthony A. Paparo. "
,QS 517 RAT 1982,,,1,Practical illustrated histology / N.A. Ratcliffe. 
,QS 517 RAT 1983,,,8,Practical illustrated histology / N.A. Ratcliffe. 
,QS 525 BAN 1994,,,1,"Manual of histological techniques and their diagnostic application / John D. Bancroft, Harry C. Cook ; foreword by David R. Turner. "
,QS4 .Ap5 2000,,,11,Anatomy and physiology learning system / Edith Applegate ; illustrated by Pat Thomas. 
,QS4 .C66 2005,,,22,Memmler's the structure and function of the human body. 
,QS4 .C66s 2005,,,23,"Study guide for Memmler's structure and function of the human body / Barbara Janson Cohen, Kerry L. Hull, Jason Taylor. "
,QS504 .T23 1995,,,4,"Introduction to functional histology / Ira R. Telford, Charles F. Bridgman. "
,QT 255 .C74 2003,,,3,Concepts of physical fitness : active lifestyles for wellness / Charles B. Corbin ... [et al.]. 
,QT104 AKI 1980,,,2,Human biology : a textbook for nurses and allied professions / Justus A. Akinsanya. 
,QT18 .F58 1993,,,1,"Understanding the human body : workbook / Tove Irene Fjeldstad, Odd Toralf Hushovd ; Peter Harrison (editor). "
,QU 145 .W21 2003,,,1,Contemporary nutrition / Gordon M. Wardlaw. 
,QU 145 TRU,,,2,ABC of nutrition 
,QU 4 HAR 1990,,,2,Harper's biochemistry / Robert K. Murray ... [et al.]. 
,QU 4 SOU 1990,,,2,Biochemistry / William M. Southerland. 
,QV 18 .L95 1985,,,1,Pharmaceutical calculations : a self-instructional text / Werner Lowenthal. 
,QV 18.2 .P49 2010,,,2,Pharmacy technician workbook and certification review 
,QV 18.2 .P49b 2010,,,3,Pharmacy technician exam. 
,QV 18.2 .R24 2004,,,2,"Essential math and calculations for pharmacy technicians / Indra K. Reddy, Mansoor A. Khan. "
,QV 38 .St2 2008,,,1,"Herb, nutrient, and drug interactions : clinical implications and therapeutic strategies / Mitchell Bebel Stargrove, Jonathan Treasure, Dwight L. McKee. "
,QV 4 .As6 2005,,,2,Introduction to pharmacology / Mary Kaye Asperheim. 
,QV 737 .H77 2004,,,2,Mosby's pharmacy technician : principles & practice / Teresa Hopper. 
,QV 737 .H77 2012,,,45,Mosby's pharmacy technician : principles and practice / Teresa Hopper. 
,QV 737 .H77w 2012,,,7,"Workbook and lab manual for Mosby's pharmacy technician : principles and practice / Teresa Hopper, Shelby L. Newberry, Bobbi Steelman "
,QV 737 .M72 2010,,,1,Pharmacy technician : a comprehensive approach / Jahangir Moini. 
,QV 766 .So7 2000,,,1,Amazing power of healing plants / Reinaldo Sosa-Gomez. 
,QV 770 DT7 .SEA 1986,,,1,"Guide to the medicinal plants of Trinidad & Tobago / by C.E. Seaforth, C.D. Adams, and Y. Sylvester. "
,QV77.7 .Iv3 2008,,,11,Science of marijuana / Leslie L. Iversen. 
,QW 25 .En3 2008,,,1,"Laboratory diagnosis of infectious diseases : essentials of diagnostic microbiology / Paul G. Engelkirk, Janet Duben-Engelkirk. "
,QW 25 .F74 2002,,,1,"Bailey & Scott's diagnostic microbiology / Betty A. Forbes, Daniel F. Sahm, Alice S. Weissfeld ; photography by Ernest A. Trevino. "
,QW 25 .T31 2000,,,3,"Textbook of diagnostic microbiology / edited by Connie R. Mahon, George Manuselis. "
,QW 4,,,2,General microbiology: the student's textbook / Peter Hunter. 
,QW 4 .M31 1999,,,2,"Manual of clinical microbiology / editor in chief, Patrick R. Murray ; editors, Ellen Jo Baron ... [et al.]. "
,QW 4 BOY,,,4,General microbiology 
,QW 4 BRO 1978,,,4,Basic microbiology : with application 
,QW 4 FRE 1979,,,1,Burrows Textbook of microbiology / by Bob A. Freeman. 
,QW 4 STA 1976,,,2,General microbiology. 
,QW 5 MED 1993,,,1,Medical microbiology / Cedric A. Mims ... [et al.] ; with a contribution from Roy M. Anderson. 
,QW 504 .Im6 2001,,,7,"Immunology / [edited by] Ivan Roitt, Jonathan Brostoff, David Male. "
,QW 504 IMM 1984,,,1,Immunology / Leroy E. Hood ... [et al.]. 
,QW 504.5 BAR 1983,,,1,Textbook of immunology: an introduction to immunology and immunobiology 
,QW 525,,,1,Immunology and serology in laboratory medicine / Mary Louise Turgeon. 
,QW 525 .T84 2009,,,5,Immunology and serology in laboratory medicine / Mary Louise Turgeon. 
,QW 525 BRY 1986,,,1,Laboratory immunology and serology / Neville J. Bryant. 
,QW 65 .Sa4 2012,,,7,Essential microbiology for dentistry / Lakshman Samaranayake. 
,QW525 .T84 2003,,,2,Immunology & serology in laboratory medicine / Mary Louise Turgeon. 
,QW805REC,,,1,Recent advances in immunization 
,QX 17 .As3 1990,,,2,"Atlas of human parasitology / Lawrence R. Ash, Thomas C. Orihel. "
,QX 4 .M34 1992,,,1,"Medical parasitology / Edward K. Markell, Marietta Voge, David T. John. "
,QX 510 .P88 1993,,,1,"Mosquitoes of public health importance and their control. / Harry D. Pratt, Chester G. Moore. "
,QY 185 .St8 2008,,,3,"Urinalysis and body fluids / Susan King Strasinger, Marjorie Schaub Di Lorenzo. "
,QY 185 ROS,,,1,Textbook of urinalysis and body fluids 
,QY 25 .K12 2004,,,2,Phlebotomy technician specialist : a practical guide to phlebotomy / Kathryn A. Kalanick. 
,QY 25 .So5 2002,,,2,"Phlebotomy : worktext and procedures manual / Sandra R. Sommer, Robin S. Warekois ; technical writer, Richard Robinson. "
,QY 25 BAK 1985,,,2,Introduction to medical laboratory technology 
,QY 4 BOL 1971,,,1,Understanding laboratory medicine [by] Camillo V. Bologna. 
,QY 90 .C61 1992,,,5,"Clinical chemistry : principles, procedures, correlations / edited by Michael L. Bishop, Janet L. Duben-Engelkirk, Edward P. Fody ; 39 contributors. "
,QY 90 .C61 2010,,,3,"Clinical chemistry : techniques, principles, correlations / [edited by] Michael L. Bishop, Edward P. Fody, Larry E. Schoeff. "
,QY 90 FUN 1970,,,1,Fundamentals of clinical chemistry. / With contributions by Sheldon Berger [et al.]. 
,QY 90 FUN 1982,,,1,Fundamentals of clinical chemistry / edited by Norbert W. Tietz ; with contributions by Sheldon Berger ... [et al.] 
,QY 90 TIE 1994,,,2,Tietz textbook of clinical chemistry. 
,QY 90 WAL 1983,,,2,"Guide to diagnostic clinical chemistry / R.N. Walmsley, G.H. White. "
,QY25 .CLI,,,1,Clinical guide to laboratory Tests 
,QZ 200 .F11 2004,,,3,"Facing cancer : a complete guide for people with cancer, their families, and caregivers / Theodore A. Stern, Mikkael A. Sekeres, editors. "
,QZ 267 .H24 2008,,,1,"Harrison's manual of oncology / [edited by] Bruce A. Chabner, Thomas J. Lynch Jr., Dan L. Longo. "
,QZ 4 .Es7 2001,,,10,Essential pathology / edited by Emanuel Rubin ; with 47 contributors. 
,QZ 4 .P27 1989,,,1,"Pathology, the mechanisms of disease / Roderick A. Cawson ... [et al.]. "
,QZ 4 WAL 1982,,,1,Introduction to the principles of disease / John B. Walter. 
,REF H62 .H19 2000 HEC,,,1,"Handbook of qualitative research / Norman K. Denzin, Yvonna S. Lincoln, ed itors. "
,REF HV2475 .St4 1998,,,1,"American Sign Language dictionary / Martin L.A. Sternberg ; illustrations by Herbert Rogoff, EduSelf, and North Market Street Graphics. "
,REF TA166 .H19 1997,,,1,Handbook of human factors and ergonomics / edited by Gavriel Salvendy. 
,S589.7 .G49 2007,,,1,Agroecology : the ecology of sustainable food systems / Steven R. Gliessman. 
,S591 .G32 2000,,,1,Fundamentals of soils / John Gerrard. 
,S591 .W72 1996,,,2,Introduction to soils for environmental professionals / Duane L. Winegardner. 
,S596 .E16 1995,,,1,Soils and environment / S. Ellis and A. Mellor. 
,T385 .Ad7 2007,,,3,Adobe Illustrator CS3. 
,T385 .Ad7 2010,,,1,Adobe Illustrator CS5. 
,T385 .K14 2009,,,4,Adobe Illustrator CS4 how-tos : 100 essential techniques / David Karlins. 
,T55 .C35 2011,,,1,"Concise guide to workplace safety and health : what you need to know, when you need it / Gary Chambers. "
,T55 .C64 2001,,,1,Operating safely in hazardous environments / Joseph A. Cocciardi. 
,T55 .D38 2010,,,2,Developing a safety and health program / Daniel E. Della-Giustina. 
,T55 .P44 2003,,,1,Techniques of safety management : a systems approach / Dan Petersen. 
,T55 .Sa1 2003,,,2,Safety at work / edited by John Ridley and John Channing. 
,T57.6 .L53 2002,,,1,"Introduction to systems analysis techniques / Mark Lejk, David Deeks. "
,T57.6 .Sh4 2003,,,1,"Systems analysis and design / Gary B. Shelly, Thomas J. Cashman, Harry J. Rosenblatt. "
,T58.6 .L36 2004,,,3,"Management information systems : managing the digital firm / Kenneth C. Laudon, Jane P. Laudon. "
,T58.6 .L36 2006,,,21,"Management information systems : managing the digital firm / Kenneth C. Laudon, Jane P. Laudon. "
,TA166 .At9 2004,,,1,"Ergonomic solutions for the process industries / Dennis A. Attwood, Joseph M. Deeb, Mary E. Danz-Reece. "
,TA357 .M85 2005,,,4,Applied fluid mechanics / Robert L. Mott. 
,TC160 .H18 2001,,,2,Understanding hydraulics / Les Hamill. 
,TC175 .C36 2004,,,1,"Hydraulics of open channel flow : an introduction ; basic principles, sediment motion, hydraulic modelling, design of hydraulic structures / Hubert Chanson. "
,TC177 .B63 2008,,,1,Hydrometry : a comprehensive introduction to the measurement of flow in open channels / W. Boiten. 
,TC409 .D27 2003,,,1,Watershed project management guide / Thomas E. Davenport. 
,TC409 .N47 1997,,,1,"Land, water, and development : sustainable management of river basin systems / Malcolm Newson. "
,TD 426. C76 2004,,,1,"Contaminated ground water and sediment : modeling for management and remediation / edited by Calvin C. Chien, Miguel A. Medina, George F. Pinder, Danny D. Reible, Brent E. Sleep, Chunmiao Zheng. "
,TD1040 .G87 2009,,,1,Principles of hazardous materials management / Roger D. Griffin. 
,TD145 .P32 1985,,,5,"Environmental engineering / Howard S. Peavy, Donald R. Rowe, George Tchobanoglous. "
,TD145 .V63 1998,,,4,Environmental pollution and control. 
,TD145 PEA 1985,,,4,"Environmental engineering / Howard S. Peavy, Donald R. Rowe, George Tchobanoglous. "
,TD159 .G87 2003,,,1,"Water, wastewater, and stormwater infrastructure management / Neil S. Grigg. "
,TD174 .M21 2004,,,1,Environmental pollution control microbiology / Ross E. McKinney. 
,TD193 .M31 2005,,,1,Environmental chemistry / Stanley E. Manahan. 
,TD193 .M32 2000,,,6,Environmental chemistry / Stanley E. Manahan. 
,TD193 .W93 2003,,,2,Environmental chemistry / John Wright. 
,TD193 McE 1993,,,1,"Pollution : ecology and biotreatment / Sharron McEldowney, David J. Hardman, Stephen Waite. "
,TD194.6 .W85 1995,,,2,Environmental impact assessment : a comparative review / Christopher Wood. 
,TD194.68.G7 .M56 1995,,,3,"Methods of environmental impact assessment / edited by Peter Morris, Riki Therivel. "
,TD367 .W29 2011,,,1,"Water quality concepts, sampling, and analyses / edited by Yuncong Li and Kati Migliaccio. "
,TD407 .H19 1990,,,1,Handbook of ground water development / Roscoe Moss Company. 
,TD430 .D83 1997,,,1,Theory and practice of water and wastewater treatment / Ronald L. Droste. 
,TD430 .D83 2001,,,1,"Water & wastewater treatment : a guide for the nonengineering professional / Joanne E. Drinan ; associate editor, Nancy E. Whiting. "
,TD883 .C41 2002,,,1,Handbook of air pollution prevention and control / Nicholas P. Cheremisinoff. 
,TD883 .G54 2004,,,4,Air quality / Thad Godish. 
,TD883 .G54 2015,,,2,"Air quality / Thad Godish, Wayne T. Davis, Joshua S. Fu. "
,TD897 .C42 2001,,,1,Handbook of pollution prevention practices / Nicholas P. Cheremisinoff. 
,TH443 .R25 2006,,,4,"Handbook of OSHA construction safety and health / Charles D. Reese, James Vernon Eidson. "
,TJ808 .G82 2010,,,1,"Green energy : technology, economics, and policy / editors, U. Aswathanarayana, T. Harikrishnan, K.M. Thayyib Sahini. "
,TK5105 .St1 1997,,,2,Data and computer communications / William Stallings. 
,TK5105.5 .C16 2009,,,2,"CCNA guide to Cisco networking / Kelly Cannon, Kelly Caudle. "
,TK5105.5 .T59 2007,,,1,"Guide to networking essentials / Greg Tomsho, Ed Tittel, David Johnson. "
,TK5105.59 .C52 2009,,,4,Security+ guide to network security fundamentals / Mark Ciampa. 
,TK5105.59 .N82 2000,,,3,"Network intrusion detection : an analyst's handbook / Stephan [sic] Northcutt, Judy Novak, Donald McLachlan. "
,TK5105.59 .W59 2005,,,9,"Principles of information security / Michael E. Whitman, Herbert J. Mattord. "
,TK5105.59 .W59 2008,,,1,"Management of information security / Michael E. Whitman, Herbert J. Mattord. "
,TK5105.59 .W59 2010,,,1,"Management of information security / Michael Whitman, Herbert Mattord. "
,TK5105.888 .Ab8 1998,,,1,World Wide Web : beyond the basics / edited by Marc Abrams. 
,TK5105.888 .B27 2001 HEC,,,1,"MIT guide to teaching web site design / Edward Barrett, Deborah A.Levinson, Suzana Lisanti. "
,TK5105.888 .D46 2003,,,4,Designing data-intensive Web applications / Stefano Ceri ... [et al.]. 
,TK5105.888 .L45 2001 HEC,,,2,User-centered Web development / Jonathan Lazar. 
,TK5105.888 .L48 2004,,,1,Web warrior guide to web database technologies / Bob Leasure and James Leasure. 
,TK5105.888 .L99 1999,,,3,"Web style guide : basic design principles for creating web sites / Patrick J. Lynch, Sarah Horton. "
,TK5105.888 .M13 2004,,,1,"User-centered Web site development : a human-computer interaction approach / Daniel D. McCracken, Rosalee J. Wolfe. "
,TK5105.888 .R25 2001,,,1,"Designing Web interfaces / Michael Rees, Andrew White, Bebo White. "
,TK5105.888 .Sm5 2004,,,2,Creating Web pages for dummies / by Bud E. Smith and Arthur Bebak. 
,TK5105.8884 .C62 2004,,,2,Weblogs and libraries / Laurel A. Clyde. 
,TK5105.8885.D74 .G82 2003,,,1,Macromedia Dreamweaver MX 2004 : hands-on training / Garo Green ; with Lynda Weinman. 
,TK5105.9995.D74 .B54 2003,,,1,"Web collection : Macromedia Flash MX, Dreamweaver MX, and Fireworks MX / Sherry Bishop, Jim Shuman, and Barbara Waxer. "
,TP370 .P22 2003,,,2,Introduction to food science / Rick Parker. 
,TR146 .F73 2006,,,5,"Handbook of photography / James A. Folts, Ronald P. Lovell, Fred C. Zwahlen, Jr. "
,TR267 .K27 2007,,,4,Digital photography book : the step-by-step secrets for how to make your photos look like the pros'! / Scott Kelby. 
,TR267 .K27 2009,,,2,Adobe Photoshop CS4 book for digital photographers / Scott Kelby. 
,TR267 .L84 2012,,,2,"Short course in digital photography / Barbara London, Jim Stone. "
,TR267.5.A3 .Ad7 2009,,,8,Adobe Photoshop CS4. 
,TR267.5.A3 .Ad7 2009 CD-ROM,,,1,Adobe Photoshop CS4. 
,TR267.5.A3 .Ad7 2010,,,4,Adobe Photoshop CS5. 
,TR267.5.A3 .F27 2007,,,1,"Adobe Photoshop CS3 / [authors, Andrew Faulkner and Judy Walthers von Alten]. "
,TR267.5.A3 .F27 2007 CD-ROM,,,1,"Adobe Photoshop CS3 / [authors, Andrew Faulkner and Judy Walthers von Alten]. "
,TR820 .K79 2008,,,1,Error(12001)
,TS155 .H36 2001,,,6,"Operations management / Jay Heizer, Barry Render. "
,TS155 .H36 2004,,,7,"Principles of operations management / Jay Heizer, Barry Render. "
,TS155 .H36 2004 CD-ROM,,,1,"Principles of operations management / Jay Heizer, Barry Render. "
,TS155 .H36 2006,,,14,"Operations management / Jay Heizer, Barry Render. "
,TS155 .H36 2006 CD-ROM,,,3,"Operations management / Jay Heizer, Barry Render. "
,TS155 .M74 1996,,,1,Schaum's outline of theory and problems of operations management / Joseph G. Monks. 
,TS155 .N14 2005,,,1,Production and operations analysis / Steven Nahmias. 
,TS155 .S11 2004,,,4,Operations management / Nigel Slack. 
,TS156 .B73 1994,,,2,Memory Jogger II : a pocket guide of tools for continuous improvement & effective planning / Michael Brassard & Diane Ritter. 
,TS156 .Ev1 2008,,,7,"Management and control of quality / James R. Evans, William M. Lindsay. "
,TS156 .G92 2007,,,1,"Juran's quality planning and analysis : for enterprise quality / Frank M. Gryna, Richard C.H. Chua, Joseph A. DeFeo. "
,TS156 .K32 2006,,,4,Quality management demystified / Sid Kemp. 
,TS160 .W31 2003 HEC,,,1,Inventory control and management / Donald Waters. 
,TX353 .P19 2003,,,1,Healing power of foods / George D. Pamplona-Roger. 
,TX716.T7 .M91 2002,,,5,Multi-cultural cuisine of Trinidad and Tobago and the Caribbean : Naparima Girls' High School cookbook. 
,TX911.3.P4 .J48 1999,,,1,Human resources management for hospitality / Linda A. Jerris. 
,W 13 .M85 2006,,,12,"Mosby's dictionary of medicine, nursing & health professions. "
,W 15 RIC,,,1,Understanding medical terms : a self-instructional course 
,W 15 YOU,,,1,Learning medical terminology step by step 
,W 740 .B28 2008,,,9,"Introduction to forensic psychology : research and application / Curt R. Bartol, Anne M. Bartol. "
,W 84.1 .P17 2012,,,1,"Palgrave handbook of gender and healthcare / edited by Ellen Kuhlmann, University Campus Sufforlk, UK and University of Aarhus, Denmark and Ellen Annandale, University of Leicester, UK. "
,W 84.1 .T91 1998 HEC,,,1,"21st century health care leader / Roderick W. Gilkey, editor ; introduction by James C. Collins. "
,W 85 .H34 2008,,,1,"Health behavior and health education : theory, research, and practice / Karen Glanz, Barbara K. Rimer, K. Viswanath, editors ; foreword by C. Tracy Orleans. "
,W740 .W93 2005,,,2,"Forensic psychology / Lawrence S. Wrightsman, Solomon M. Fulero. "
,W84 .AA1 .D29 2002,,,1,"Introduction to health information technology / Nadinia Davis, Melissa LaCour. "
,W85 .B73 2007,,,3,"Health psychology : an introduction to behavior and health / Linda Brannon, Jess Feist. "
,WA 105 .B64 2006,,,3,Error(12001)
,WA 105 .G65 2004,,,4,Epidemiology / Leon Gordis. 
,WA 105 .R74 2002,,,2,Epidemiology : an introduction / Kenneth J. Rothman. 
,WA 275 .M72 2006,,,1,Road traffic injury prevention training manual / Dinesh Mohan ... [et al.]. 
,WA 292.7 .T42 2001,,,2,First aid and CPR / Alton Thygerson. 
,WA 295 .C59 2009,,,5,Disasters and public health : planning and response / Bruce Clements. 
,WA 30 .L22 2006,,,2,"Environment, health and sustainable development / Megan Landon. "
,WA 30 .N12 2000,,,4,Our global environment : a health perspective / Anne Nadakavukaren. 
,WA 309 .G28 2002,,,1,Gender mainstreaming in the health sector : experiences in Commonwealth countries / Commonwealth Secretariat. 
,WA 31 .H434 2001,,,2,"Health and disease : a reader / edited by Basiro Davey, Alastair Gray, and Clive Seale. "
,WA 400 .R25 2009,,,18,Occupational health and safety management : a practical approach / Charles D. Reese. 
,WA 400 .St9 2000,,,1,Study guide : fundamentals of industrial hygiene. 
,WA 525 .M19 2009,,,1,"Planning, implementing, and evaluating health promotion programs : a primer / James F. McKenzie, Brad L. Neiger, Rosemary Thackeray. "
,WA 590 .C73 2009,,,1,"Community health education methods : a practical guide / edited by Robert J. Bensley, Jodi Brookins-Fisher. "
,WA 675 SMA,,,2,Small community water supply 
,WA 675 STE 1979,,,1,"Water supply and sewerage / E. W. Steel, Terence J. McGhee. "
,WA 754 .Ai7 2010,,,1,"Air pollution : health and environmental impacts / edited by Bhola R. Gurjar, Luisa T. Molina, Chandra S.P. Ojha ; forward by Mario J. Molina. "
,WA 778 SKI 1979,,,1,Waste disposal management and practice 
,WA 78 SOL,,,2,Solid waste management 
,WA 950 .T48 2002,,,8,Introduction to epidemiology / Thomas C. Timmreck. 
,WA100 .Sch5 2000,,,1,Introduction to public health / Mary-Jane Schneider ; drawings by Henry Schneider. 
,WA292 .F51 2006,,,1,"First aid manual : the authorised manual of St. John Ambulance, St. Andrew's Ambulance Association, and the British Red Cross. "
,WA30.5 .B52 2002,,,1,"Biomarkers of environmentally associated disease : technologies, concepts, and perspectives / [edited by] Samuel H. Wilson, William A. Suk. "
,WA400 .R25 2003,,,1,Occupational health and safety management : a practical approach / Charles D. Reese. 
,WA440 .Oc1 2003,,,1,"Occupational environment : its evaluation, control, and management / Salvatore R. DiNardi, editor. "
,WB 356 .M13 1998,,,1,Transfusion medicine / Jeffrey McCullough. 
,WB 400 .D38 1986,,,3,Davidson and Passmore Human nutrition and dietetics. 
,WB 400 KRA 1984,,,7,"Food, nutrition, and diet therapy: a textbook of nutritional care "
,WB 60 .B29 2004,,,1,"Basic questions on genetics, stem cell research, and cloning : are these technologies Okay to use? / Linda K. Bevington ... [et al.]. "
,WB18.2,,,6,"Mosby's paramedic refresher and review : a case studies approach / Alice ""Twink"" Dalton, Richard Allen Walker. "
,WC 140 .Ad5 1990,,,1,"ABC of sexually transmitted diseases / Michael W. Adler ; with contributions from Ian Weller, David Goldmeier. "
,WC 503.6 .C15 2003,,,1,Campus HIV prevention strategies : planning for success / Mary T. Hoban ... [et al.]. 
,WC 503.6 .K29 2005,,,3,"Education and HIV/AIDS in the Caribbean / Michael J. Kelly, Brendan Bain ; [with an introduction by Rex Nettleford]. "
,WC 503.7 .H64 2009,,,3,"HIV-AIDS and social work practice in the Caribbean : theory, issues, and innovation / edited by Adele D. Jones, Jacqueline Padmore, Priya L. Maharaj. "
,WC 695 BEC 1981,,,3,"Medical parasitology / J. Walter Beck, John E. Davies. "
,WC 695 BRO 1983,,,7,"Basic clinical parasitology / Harold W. Brown, Franklin A. Neva. "
,WC 750 DIA 1990,,,1,Error(12001)
,WC750BIO,,,1,Biology of malaria parasites 
,WC750WHO,,,1,WHO Expert Committee on Malaria 
,WD 300,,,1,Clinical immunology / edited by John Bradley and James McCluskey. 
,WD 308 .Ab2 1991,,,3,ABC of AIDS / edited by Micheal W. Adler ; with contributions by Peter Beverley ... [et al.]. 
,WD 308 ACQ,,,2,"AIDS:Social Representations, Social Practices "
,WD 308 AID,,,2,"Aids: Responses, Interventions and Care. "
,WD 308 SOC,,,2,Society and HIV/AIDS:selected knowledge base for research and action 
,WH 100 TUR 1993,,,1,Clinical hematology : theory and procedures / Mary Louise Turgeon. 
,WH 120 .H83 2008,,,4,"Haematology : an illustrated colour text / Martin R. Howard, Peter J. Hamilton ; illustrated by Robert Britton. "
,WH 120 .R91 1997,,,5,Hematology / Allan Paul Russell. 
,WH 155 .An3 2008,,,1,"Anemias and other red cell disorders / edited by Kenneth R. Bridges, Howard A. Pearson. "
